;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Aalto-yliopisto;;
Arkkitehtuuri, tekniikan kandidaatti ja arkkitehti (3 v + 2 v) - DIA-yhteisvalinta;155,67;309,17
Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;22,00;105,00
Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;24,00;105,00
Chemical Engineering, Bachelor of Science (Technology),  Master of Science (Technology) (3+2 yrs);87,50;1 580,00
Computational Engineering, Bachelor of Science (Technology), Master of Science (Technology) (3+2 yrs);82,00;1 590,00
Data Science, Bachelor of Science (Technology), Master of Science (Technology) (3+2 yrs);93,00;1 600,00
Design, Bachelor of Arts, Master of Arts (3+2 yrs);67,50;84,00
Digital Systems and Design, Bachelor of Science (Technology), Master of Science (Technology) (3+2 yrs);44,10;1 600,00
Dokumentaarinen elokuva, taiteen kandidaatti ja maisteri (3 v + 2 v);75,27;78,55
Economics, kauppatieteiden kandidaatti ja maisteri (3 + 2 vuotta);88,20;1 580,00
Elektroniikka ja sähkötekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;19,00;105,00
Elokuva- ja tv-käsikirjoitus, taiteen kandidaatti ja maisteri (3 v + 2 v);84,00;90,25
Elokuva- ja tv-lavastus, taiteen kandidaatti ja maisteri (3 v + 2 v);72,00;79,20
Elokuva- ja tv-tuotanto, taiteen kandidaatti ja maisteri (3 v + 2 v);70,10;82,80
Elokuvaleikkaus, taiteen kandidaatti ja maisteri (3 v + 2 v);64,45;75,91
Elokuvaohjaus, taiteen kandidaatti ja maisteri (3 v + 2 v);80,10;82,80
Elokuvaus, taiteen kandidaatti ja maisteri (3 v + 2 v);72,80;83,80
Elokuvaäänitys ja -äänisuunnittelu, taiteen kandidaatti ja maisteri (3 v + 2 v);77,00;81,00
Energia- ja konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;19,00;105,00
Haku avoimen yliopiston väylän kautta, Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v);?;?
Haku avoimen yliopiston väylän kautta, Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v);?;?
Haku avoimen yliopiston väylän kautta, Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v);?;?
Informaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;20,00;99,60
Informaatioverkostot, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v);23,50;165,00
International Business, kauppatieteiden kandidaatti (BScBA, Mikkeli) ja kauppatieteiden maisteri (Otaniemi) (3+2 vuotta);97,90;1 580,00
Kauppatieteet, kauppatieteiden kandidaatti ja maisteri (3 v + 2 v) (Kauppatieteellisen alan yhteisvalinta);26,45;146,30
Kauppatieteet, valinta erityisten saavutusten perusteella, kauppatieteiden kandidaatti ja kauppatieteiden maisteri (3 v + 2 v);98,60;120,90
Kauppatieteet, valinta SAT- tai ACT-testin perusteella, kauppatieteiden kandidaatti ja kauppatieteiden maisteri (3 v + 2 v);1 360,00;1 480,00
Kemian tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;16,50;105,00
Kestävät yhdyskunnat, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;15,50;94,20
Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;18,50;105,00
Kuvataidekasvatus, taiteen kandidaatti ja maisteri (3 v + 2 v);74,00;108,30
Maisema-arkkitehtuuri, tekniikan kandidaatti ja maisema-arkkitehti (3 v + 2 v) - DIA-yhteisvalinta;136,00;304,70
Muoti, taiteen kandidaatti ja maisteri (3 v + 2 v);61,43;74,29
Muotoilu, taiteen kandidaatti ja maisteri (3 v + 2 v);64,00;99,93
Pukusuunnittelu: esittävät taiteet ja elokuva, taiteen kandidaatti ja maisteri (3 v + 2 v);70,86;85,43
Quantum Technology, Bachelor of Science (Technology), Master of Science (Technology) (3+2 yrs);94,10;1 580,00
Rakennustekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;14,50;105,00
Sisustusarkkitehtuuri, taiteen kandidaatti ja maisteri (3 v + 2 v);68,20;96,80
Teknillinen fysiikka ja matematiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;30,50;105,00
Teknillinen psykologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;26,50;105,00
Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;26,50;105,00
Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;34,00;105,00
Visuaalisen viestinnän muotoilu, taiteen kandidaatti ja maisteri (3 v + 2 v);65,00;107,30
Centria-ammattikorkeakoulu;;
Bachelor of Business Administration (BBA), Business Management, daytime studies / Kokkola;11,85;136,00
Bachelor of Business Administration (BBA), Business Management, Enterprise Resource Planning, daytime studies / Kokkola;20,35;129,00
Bachelor of Business Administration, International Business, blended learning / Pietarsaari;15,05;162,00
Bachelor of Engineering, Chemical Engineering, daytime studies / Kokkola;19,60;193,00
Bachelor of Engineering, Information Technology, blended learning / Pietarsaari;21,15;190,00
Bachelor of Engineering, Information Technology, daytime studies / Kokkola;20,75;179,00
Bachelor of Health Care, Nursing, daytime studies / Kokkola;50,45;77,05
Digitalisaation kehittäminen ja johtaminen, Insinööri (ylempi AMK)/60 op, Tradenomi (ylempi AMK)/90 op, Kokkola;42,50;90,00
Insinööri (AMK), Akkutekniikan muuntokoulutus, monimuotototeutus;65,00;92,50
Insinööri (AMK), konetekniikka, monimuotototeutus / Ylivieska;40,00;323,90
Insinööri (AMK), konetekniikka, päivätoteutus / Kokkola;36,00;204,93
Insinööri (AMK), prosessi- ja materiaalitekniikka, kemiantekniikka, monimuotototeutus / Kokkola;58,00;275,07
Insinööri (AMK), prosessi- ja materiaalitekniikka, kemiantekniikka, päivätoteutus / Kokkola;28,00;151,00
Insinööri (AMK), sähkö- ja automaatiotekniikka, monimuotototeutus / Ylivieska;49,00;393,75
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus / Kokkola;53,00;221,61
Insinööri (AMK), tieto- ja viestintätekniikka, monimuotototeutus / Kokkola;88,00;332,98
Insinööri (AMK), tieto- ja viestintätekniikka, monimuotototeutus / Ylivieska;102,00;286,51
Insinööri (AMK), tieto- ja viestintätekniikka, päivätoteutus / Kokkola;76,00;242,95
Insinööri (AMK), tuotantotalous, monimuotototeutus / Ylivieska;80,00;323,38
Insinööri (AMK), tuotantotalous, päivätoteutus / Kokkola;53,00;232,86
Insinööri (ylempi AMK), teknologiaosaamisen johtaminen, Kokkola;55,00;100,00
Musiikkipedagogi (AMK), päivätoteutus / Kokkola;54,00;96,25
Musiikkipedagogi (ylempi AMK), moderni kulttuurituotanto, Kokkola;55,00;100,00
Sairaanhoitaja (AMK), päivätoteutus / Kokkola;56,00;290,22
Sairaanhoitaja (AMK), verkkopainotteinen monimuotototeutus lähihoitajataustaisille, Kokkola;97,00;314,20
Sosiaali- ja terveysala (ylempi AMK), sosiaali- ja terveysalan kehittäminen ja johtaminen, Kokkola;62,00;79,00
Sosionomi (AMK), monimuotototeutus / Kokkola;90,00;368,07
Sosionomi (AMK), monimuotototeutus / Ylivieska;95,00;359,89
Sosionomi (AMK), päivätoteutus / Kokkola;81,00;339,28
Terveydenhoitaja (AMK), muuntokoulutus 60 op, monimuotototeutus;78,00;95,00
Tradenomi (AMK), liiketalous, monimuotototeutus / Kokkola;102,00;268,22
Tradenomi (AMK), liiketalous, monimuotototeutus / Pietarsaari;43,71;84,19
Tradenomi (AMK), liiketalous, monimuotototeutus / Ylivieska;56,33;80,38
Tradenomi (AMK), liiketalous, päivätoteutus / Kokkola;27,00;196,61
Tradenomi (AMK), tietojenkäsittely, monimuotototeutus / Kokkola;86,00;233,44
Tradenomi (ylempi AMK), liiketoimintaosaaminen, Kokkola;61,00;79,00
Yhteisöpedagogi (AMK), monimuotototeutus / Ylivieska;39,00;263,66
Yhteisöpedagogi (AMK), päivätoteutus / Kokkola;37,00;249,64
Yhteisöpedagogi (ylempi AMK), kasvatustyön johtaminen, Kokkola;74,00;95,00
Diakonia-ammattikorkeakoulu;;
Bachelor of Health Care, Nursing;47,48;73,50
Bachelor of Social Services;21,70;100,00
Sairaanhoitaja (AMK), Diakoninen hoitotyö, monimuotototeutus;29,00;307,98
Sairaanhoitaja (AMK), monimuotototeutus;31,00;453,84
Sairaanhoitaja (AMK), monimuotototeutus lähihoitajataustaisille;105,87;150,00
Sairaanhoitaja (AMK), päivätoteutus;83,00;358,33
Sosiaali- ja terveysalan (ylempi AMK), Ekososiaalinen työ ja globaaliosaaminen;28,00;40,00
Sosiaali- ja terveysalan (ylempi AMK), Monialainen ja yhteensovittava johtaminen;18,00;40,00
Sosiaali- ja terveysalan (ylempi AMK), Vaikuttava asiakas- ja palveluohjaus sosiaali- ja terveysalalla;19,00;40,00
Sosionomi (AMK) diakoniatyö, verkkopainotteinen monimuotototeutus, lähiopetus Jyväskylässä;76,00;405,58
Sosionomi (AMK), Diakoniatyö, monimuotototeutus;34,00;395,32
Sosionomi (AMK), Diakoniatyö, päivätoteutus;86,00;379,59
Sosionomi (AMK), Kirkon nuorisotyö, monimuotototeutus;70,00;408,67
Sosionomi (AMK), Kirkon nuorisotyö, päivätoteutus;100,00;376,50
Sosionomi (AMK), kirkon nuorisotyö, verkkopainotteinen monimuotototeutus, lähiopetus Jyväskylässä;76,00;468,89
Sosionomi (AMK), Kirkon varhaiskasvatus, monimuotototeutus;52,00;369,47
Sosionomi (AMK), monimuotototeutus;66,00;387,00
Sosionomi (AMK), päivätoteutus;89,00;405,33
Sosionomi (AMK), varhaiskasvatus, verkkopainotteinen monimuotototeutus, lähiopetus Varkaudessa;71,50;92,60
Sosionomi (AMK), verkkototeutus;82,00;411,72
Terveydenhoitaja (AMK), Monimuotototeutus;59,00;413,46
